DATE_READING,YEAR,MONTH,DAY,AREA_NUMBER,ELNINO,LANINA,TOTAL_CAPTURE
20060904,2006,9,4,4,0,0,1
20180613,2018,6,13,3,0,0,0
20150828,2015,8,28,3,1,0,0
20170131,2017,1,31,3,0,0,0
20130623,2013,6,23,1,0,0,0
20160611,2016,6,11,1,0,0,0
20080802,2008,8,2,3,0,0,0
20180925,2018,9,25,2,0,0,0
20090515,2009,5,15,2,0,0,0
20200321,2020,3,21,2,0,0,0
20140823,2014,8,23,3,0,0,0
20060906,2006,9,6,3,0,0,0
20080105,2008,1,5,3,0,1,0
20111016,2011,10,16,2,0,1,0
20191128,2019,11,28,2,0,0,0
20191206,2019,12,6,3,0,0,0
20110717,2011,7,17,4,0,0,0
20160817,2016,8,17,4,0,0,0
20190906,2019,9,6,1,0,0,0
20140902,2014,9,2,2,0,0,0
20060913,2006,9,13,3,0,0,0
20150821,2015,8,21,4,1,0,0
20120420,2012,4,20,1,0,0,0
20190112,2019,1,12,3,0,0,0
20160608,2016,6,8,2,0,0,0
20130214,2013,2,14,3,0,0,0
20110521,2011,5,21,4,0,0,0
20140629,2014,6,29,4,0,0,0
20080331,2008,3,31,4,0,0,0
20131120,2013,11,20,2,0,0,0
20060517,2006,5,17,2,0,0,0
20190414,2019,4,14,3,0,0,0
20200628,2020,6,28,4,0,0,0
20070318,2007,3,18,3,0,0,0
20110513,2011,5,13,4,0,0,0
20120913,2012,9,13,4,0,0,0
20180822,2018,8,22,1,0,0,3
20060614,2006,6,14,4,0,0,0
20170207,2017,2,7,2,0,0,0
20060726,2006,7,26,4,0,0,0
20120416,2012,4,16,2,0,0,0
20070808,2007,8,8,2,0,1,0
20141106,2014,11,6,3,0,0,0
20170203,2017,2,3,2,0,0,0
20060821,2006,8,21,4,0,0,0
20160705,2016,7,5,2,0,0,0
20170122,2017,1,22,1,0,0,0
20080719,2008,7,19,1,0,0,0
20190315,2019,3,15,1,0,0,0
20060311,2006,3,11,3,0,0,0
20121120,2012,11,20,4,0,0,0
20190620,2019,6,20,4,0,0,0
20100918,2010,9,18,3,0,1,0
20080708,2008,7,8,3,0,0,0
20120917,2012,9,17,4,0,0,0
20060228,2006,2,28,2,0,0,0
20140509,2014,5,9,4,0,0,0
20160819,2016,8,19,1,0,0,0
20170321,2017,3,21,1,0,0,0
20170912,2017,9,12,2,0,0,0
20150402,2015,4,2,4,0,0,0
20061023,2006,10,23,1,1,0,1
20080815,2008,8,15,2,0,0,0
20161129,2016,11,29,4,0,0,0
20190709,2019,7,9,1,0,0,0
20090220,2009,2,20,2,1,0,1
20070325,2007,3,25,1,0,0,0
20120531,2012,5,31,2,0,0,0
20080220,2008,2,20,3,0,1,0
20170508,2017,5,8,1,0,0,1
20120119,2012,1,19,2,0,1,2
20191221,2019,12,21,3,0,0,0
20100219,2010,2,19,3,1,0,4
20180909,2018,9,9,4,0,0,0
20110527,2011,5,27,2,0,0,0
20070329,2007,3,29,1,0,0,0
20150803,2015,8,3,3,1,0,0
20100712,2010,7,12,4,0,1,0
20110518,2011,5,18,3,0,0,0
20060422,2006,4,22,4,0,0,0
20060712,2006,7,12,1,0,0,0
20100831,2010,8,31,4,0,1,0
20130531,2013,5,31,3,0,0,2
20080331,2008,3,31,2,0,0,0
20200726,2020,7,26,4,0,0,0
20080519,2008,5,19,4,0,0,0
20161028,2016,10,28,4,0,0,0
20090321,2009,3,21,2,0,0,0
20080113,2008,1,13,1,0,1,0
20090316,2009,3,16,3,0,0,0
20120811,2012,8,11,4,0,0,0
20171104,2017,11,4,4,0,0,0
20171116,2017,11,16,4,0,0,0
20200305,2020,3,5,1,0,0,1
20130627,2013,6,27,1,0,0,1
