Year,Month,AREA_NUMBER,CAPTURED,TOTAL_CAPTURE
2006,9,1,1,4
2006,9,2,1,3
2006,9,3,1,7
2006,9,4,1,4
2006,10,1,1,3
2006,10,2,1,3
2006,10,3,1,5
2006,10,4,1,2
2006,11,1,1,2
2006,11,2,1,4
2006,11,3,1,4
2006,11,4,1,2
2006,12,1,1,5
2006,12,2,1,2
2006,12,3,1,5
2006,12,4,1,3
2007,1,1,1,4
2007,1,2,1,2
2007,1,3,1,4
2007,1,4,1,1
2007,2,1,1,2
2007,2,2,1,4
2007,2,3,1,10
2007,2,4,1,1
2007,3,1,1,5
2007,3,2,1,3
2007,3,3,1,12
2007,3,4,1,4
2007,4,1,1,16
2007,4,2,1,6
2007,4,3,1,5
2007,4,4,1,5
2007,8,1,1,6
2007,8,2,1,2
2007,8,3,1,6
2007,8,4,1,1
2008,8,1,1,4
2008,8,2,1,1
2008,8,3,1,5
2008,8,4,1,2
2008,9,1,1,2
2008,9,2,1,2
2008,9,3,1,6
2008,9,4,1,1
2008,10,1,1,3
2008,10,2,1,3
2008,10,3,1,5
2008,10,4,1,4
2008,11,1,1,4
2008,11,2,1,4
2008,11,3,1,3
2008,11,4,0,0
2008,12,1,1,4
2008,12,2,0,0
2008,12,3,1,7
2008,12,4,1,1
2009,1,1,1,3
2009,1,2,1,6
2009,1,3,1,3
2009,1,4,1,5
2009,2,1,1,6
2009,2,2,1,1
2009,2,3,1,8
2009,2,4,1,3
2009,3,1,1,4
2009,3,2,1,1
2009,3,3,1,9
2009,3,4,1,3
2009,4,1,1,6
2009,4,2,1,2
2009,4,3,1,10
2009,4,4,1,2
2009,5,1,1,5
2009,5,2,1,1
2009,5,3,1,5
2009,5,4,1,2
2009,6,1,1,1
2009,6,2,0,0
2009,6,3,1,4
2009,6,4,0,0
2009,7,1,1,4
2009,7,2,1,2
2009,7,3,1,5
2009,7,4,0,0
2009,8,1,1,1
2009,8,2,1,2
2009,8,3,1,3
2009,8,4,0,0
2009,9,1,0,0
2009,9,2,1,2
2009,9,3,1,6
2009,9,4,1,2
2009,10,1,1,5
2009,10,2,1,2
2009,10,3,1,1
2009,10,4,1,1
2009,11,1,1,7
2009,11,2,1,4
2009,11,3,1,5
2009,11,4,1,1
2009,12,1,1,4
2009,12,2,1,4
2009,12,3,1,4
2009,12,4,0,0
2010,1,1,1,4
2010,1,2,1,4
2010,1,3,1,5
2010,1,4,1,2
2010,2,1,1,5
2010,2,2,1,3
2010,2,3,1,6
2010,2,4,1,4
2010,3,1,1,6
2010,3,2,1,3
2010,3,3,1,7
2010,3,4,1,4
2010,4,1,1,7
2010,4,2,1,5
2010,4,3,1,3
2010,4,4,1,4
2010,5,1,1,4
2010,5,2,1,2
2010,5,3,1,6
2010,5,4,1,1
2010,6,1,1,10
2010,6,2,1,2
2010,6,3,1,2
2010,6,4,1,1
2010,7,1,1,5
2010,7,2,1,1
2010,7,3,1,4
2010,7,4,1,1
2010,8,1,1,6
2010,8,2,1,3
2010,8,3,1,3
2010,8,4,1,2
2010,9,1,0,0
2010,9,2,1,1
2010,9,3,1,3
2010,9,4,0,0
2010,10,1,1,2
2010,10,2,1,5
2010,10,3,1,3
2010,10,4,1,2
2010,11,1,1,5
2010,11,2,1,8
2010,11,3,1,2
2010,11,4,1,3
2010,12,1,1,6
2010,12,2,1,4
2010,12,3,1,5
2010,12,4,1,4
2011,1,1,1,2
2011,1,2,0,0
2011,1,3,1,1
2011,1,4,0,0
2011,2,1,1,3
2011,2,2,1,4
2011,2,3,1,6
2011,2,4,1,2
2011,3,1,1,10
2011,3,2,1,4
2011,3,3,1,9
2011,3,4,1,5
2011,4,1,1,9
2011,4,2,1,5
2011,4,3,1,16
2011,4,4,1,5
2011,5,1,1,4
2011,5,2,1,3
2011,5,3,1,5
2011,5,4,1,2
2011,6,1,1,2
2011,6,2,1,1
2011,6,3,1,3
2011,6,4,1,2
2011,7,1,1,3
2011,7,2,1,1
2011,7,3,1,5
2011,7,4,1,4
2011,8,1,1,1
2011,8,2,1,1
2011,8,3,1,3
2011,8,4,1,1
2011,9,1,1,5
2011,9,2,1,1
2011,9,3,1,3
2011,9,4,1,3
2011,10,1,1,7
2011,10,2,1,2
2011,10,3,1,6
2011,10,4,0,0
2011,11,1,1,2
2011,11,2,1,3
2011,11,3,1,9
2011,11,4,1,3
2011,12,1,1,4
2011,12,2,1,6
2011,12,3,1,8
2011,12,4,1,2
2012,1,1,1,2
2012,1,2,1,3
2012,1,3,1,11
2012,1,4,1,2
2012,2,1,1,5
2012,2,2,1,4
2012,2,3,1,9
2012,2,4,1,2
2012,3,1,1,2
2012,3,2,1,5
2012,3,3,1,7
2012,3,4,1,4
2012,4,1,1,1
2012,4,2,1,6
2012,4,3,1,5
2012,4,4,1,3
2012,5,1,1,5
2012,5,2,1,4
2012,5,3,1,7
2012,5,4,1,3
2012,6,1,1,3
2012,6,2,1,2
2012,6,3,1,3
2012,6,4,1,1
2012,7,1,1,1
2012,7,2,1,2
2012,7,3,1,2
2012,7,4,1,1
2012,8,1,0,0
2012,8,2,1,2
2012,8,3,1,10
2012,8,4,1,2
2012,9,1,1,3
2012,9,2,1,2
2012,9,3,1,6
2012,9,4,1,1
2012,10,1,1,4
2012,10,2,1,5
2012,10,3,1,5
2012,10,4,1,4
2012,11,1,1,6
2012,11,2,1,3
2012,11,3,1,6
2012,11,4,1,3
2012,12,1,1,4
2012,12,2,1,4
2012,12,3,1,6
2012,12,4,1,4
2013,1,1,1,1
2013,1,2,1,1
2013,1,3,1,2
2013,1,4,1,6
2013,2,1,1,2
2013,2,2,1,2
2013,2,3,1,5
2013,2,4,1,2
2013,3,1,1,2
2013,3,2,0,0
2013,3,3,1,5
2013,3,4,1,2
2013,4,1,1,5
2013,4,2,1,3
2013,4,3,1,9
2013,4,4,1,1
2013,5,1,1,3
2013,5,2,1,4
2013,5,3,1,9
2013,5,4,1,3
2013,6,1,1,2
2013,6,2,0,0
2013,6,3,1,3
2013,6,4,1,2
2013,7,1,1,2
2013,7,2,1,1
2013,7,3,1,2
2013,7,4,0,0
2013,8,1,1,1
2013,8,2,1,4
2013,8,3,1,2
2013,8,4,0,0
2013,9,1,1,2
2013,9,2,1,2
2013,9,3,1,3
2013,9,4,1,3
2013,10,1,1,2
2013,10,2,1,3
2013,10,3,1,8
2013,10,4,0,0
2013,11,1,1,2
2013,11,2,1,1
2013,11,3,1,6
2013,11,4,1,1
2013,12,1,1,1
2013,12,2,1,5
2013,12,3,1,6
2013,12,4,1,5
2014,1,1,0,0
2014,1,2,1,3
2014,1,3,1,5
2014,1,4,0,0
2014,2,1,1,7
2014,2,2,1,6
2014,2,3,1,3
2014,2,4,1,2
2014,3,1,1,8
2014,3,2,1,9
2014,3,3,1,12
2014,3,4,1,7
2014,4,1,1,3
2014,4,2,1,6
2014,4,3,1,4
2014,4,4,1,7
2014,5,1,1,7
2014,5,2,1,7
2014,5,3,1,8
2014,5,4,1,6
2014,6,1,1,4
2014,6,2,1,1
2014,6,3,1,9
2014,6,4,1,3
2014,7,1,1,5
2014,7,2,1,3
2014,7,3,1,4
2014,7,4,0,0
2014,8,1,1,2
2014,8,2,1,3
2014,8,3,1,4
2014,8,4,0,0
2014,9,1,1,2
2014,9,2,1,1
2014,9,3,1,7
2014,9,4,1,2
2014,10,1,1,4
2014,10,2,1,1
2014,10,3,1,3
2014,10,4,1,5
2014,11,1,1,1
2014,11,2,1,6
2014,11,3,1,6
2014,11,4,1,3
2014,12,1,1,1
2014,12,2,1,3
2014,12,3,1,4
2014,12,4,1,5
2015,1,1,1,4
2015,1,2,1,4
2015,1,3,1,3
2015,1,4,1,3
2015,2,1,1,3
2015,2,2,1,4
2015,2,3,1,9
2015,2,4,1,3
2015,3,1,1,6
2015,3,2,1,1
2015,3,3,1,7
2015,3,4,1,4
2015,4,1,1,5
2015,4,2,1,3
2015,4,3,1,10
2015,4,4,1,6
2015,5,1,1,3
2015,5,2,1,1
2015,5,3,1,5
2015,5,4,1,7
2015,6,1,1,2
2015,6,2,1,2
2015,6,3,1,8
2015,6,4,1,2
2015,7,1,1,2
2015,7,2,1,1
2015,7,3,1,1
2015,7,4,0,0
2015,8,1,1,5
2015,8,2,1,3
2015,8,3,1,2
2015,8,4,1,3
2015,9,1,0,0
2015,9,2,1,6
2015,9,3,1,4
2015,9,4,1,2
2015,10,1,1,4
2015,10,2,1,5
2015,10,3,1,6
2015,10,4,1,2
2015,11,1,1,3
2015,11,2,1,6
2015,11,3,1,5
2015,11,4,1,1
2015,12,1,1,3
2015,12,2,1,1
2015,12,3,1,7
2015,12,4,1,3
2016,1,1,1,3
2016,1,2,1,2
2016,1,3,1,4
2016,1,4,1,2
2016,2,1,1,3
2016,2,2,1,4
2016,2,3,1,8
2016,2,4,1,3
2016,3,1,1,7
2016,3,2,1,2
2016,3,3,1,6
2016,3,4,1,3
2016,4,1,1,5
2016,4,2,1,5
2016,4,3,1,10
2016,4,4,1,2
2016,5,1,1,3
2016,5,2,1,4
2016,5,3,1,10
2016,5,4,1,1
2016,6,1,1,1
2016,6,2,1,1
2016,6,3,1,9
2016,6,4,1,4
2016,7,1,1,2
2016,7,2,1,2
2016,7,3,1,5
2016,7,4,0,0
2016,8,1,0,0
2016,8,2,1,3
2016,8,3,1,2
2016,8,4,1,1
2016,9,1,1,5
2016,9,2,1,3
2016,9,3,1,1
2016,9,4,1,4
2016,10,1,1,1
2016,10,2,1,2
2016,10,3,1,4
2016,10,4,1,2
2016,11,1,1,3
2016,11,2,1,4
2016,11,3,0,0
2016,11,4,1,2
2016,12,1,1,2
2016,12,2,1,5
2016,12,3,1,3
2016,12,4,1,4
2017,1,1,1,8
2017,1,2,1,4
2017,1,3,1,8
2017,1,4,1,3
2017,2,1,1,4
2017,2,2,1,8
2017,2,3,1,7
2017,2,4,1,2
2017,3,1,1,10
2017,3,2,1,9
2017,3,3,1,12
2017,3,4,1,10
2017,4,1,1,8
2017,4,2,1,12
2017,4,3,1,6
2017,4,4,1,7
2017,5,1,1,8
2017,5,2,1,4
2017,5,3,1,4
2017,5,4,1,4
2017,6,1,1,3
2017,6,2,1,5
2017,6,3,1,11
2017,6,4,1,1
2017,7,1,1,2
2017,7,2,1,4
2017,7,3,1,4
2017,7,4,1,2
2017,8,1,1,5
2017,8,2,1,5
2017,8,3,1,6
2017,8,4,1,4
2017,9,1,1,4
2017,9,2,1,2
2017,9,3,1,4
2017,9,4,1,4
2017,10,1,1,9
2017,10,2,1,8
2017,10,3,1,7
2017,10,4,1,4
2017,11,1,1,1
2017,11,2,1,10
2017,11,3,1,12
2017,11,4,1,6
2017,12,1,1,3
2017,12,2,1,8
2017,12,3,1,4
