MAX_TEMP,MIN_TEMP,RAINFALL_CH,SOLAR_EXPOSURE,DATE_READING,NO_OF_CAPTURE,Year,Month,Day,Period over which rainfall was measured (days),Fort Hill Rainfall Amount,tide_range,tide_max,tide_min,COMMON_NAME,DATE_CAPTURED,DESCRIPTION,GROUP_NAME,ID,LATITUDE,LOCATION,LONGITUDE,NOTES,SCIENTIFIC_NAME,SEX,TAXONID,TOTAL_LENGTH,TRAP_NUMBER,_clipped,1_TOTAL_LENGTH,2_TOTAL_LENGTH,3_TOTAL_LENGTH,4_TOTAL_LENGTH,5_TOTAL_LENGTH,6_TOTAL_LENGTH,7_TOTAL_LENGTH,8_TOTAL_LENGTH,9_TOTAL_LENGTH,10_TOTAL_LENGTH,11_TOTAL_LENGTH,12_TOTAL_LENGTH,13_TOTAL_LENGTH,14_TOTAL_LENGTH,15_TOTAL_LENGTH,16_TOTAL_LENGTH,17_TOTAL_LENGTH,18_TOTAL_LENGTH,19_TOTAL_LENGTH,36_TOTAL_LENGTH,37_TOTAL_LENGTH,39_TOTAL_LENGTH,43_TOTAL_LENGTH,46_TOTAL_LENGTH,47_TOTAL_LENGTH,48_TOTAL_LENGTH,52_TOTAL_LENGTH,53_TOTAL_LENGTH,54_TOTAL_LENGTH,55_TOTAL_LENGTH,56_TOTAL_LENGTH
31.3,20.6,0,26.4,20060904,1,2006,9,4,,0,5.769846845899858,6.94517135350727,1.1753245076074115,Saltwater Crocodile,20060904,Trap,Woods Inlet,2309,-12.487708,Woods Inlet,130.756395,"scutes 292 cut
",C. porosus,M,9725,0,1,no,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.9,20.3,0,23.7,20170824,0,2017,8,24,,0,3.2345673448853756,5.3945508751976,2.159983530312225,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.2,16.2,0,21.7,20200730,1,2020,7,30,,,6.99206817130873,7.50110444808929,0.5090362767805603,Saltwater Crocodile,20200730,Trap,East Arm,25227,-12.465731,Bleesers Creek,130.904771,,C. porosus,M,9725,0,13,no,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.8,24.2,0,26.8,20171230,0,2017,12,30,,,6.022062246833075,7.194090467142507,1.1720282203094317,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.7,23.6,0,21.3,20170503,2,2017,5,3,,0,6.594760292006633,7.5345299664552385,0.9397696744486059,Saltwater Crocodile,20170503,Trap,Southport,17155,-12.718489,Southport,130.944861,,C. porosus,M,9725,0,4,no,0,0,0,310,0,0,0,0,0,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.4,21,0,22.8,20060517,0,2006,5,17,,0,3.4318952419973563,5.773086324697311,2.3411910826999547,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.8,17.2,0,21.3,20190724,1,2019,7,24,,0,5.354662234276844,6.642641680828087,1.2879794465512426,Saltwater Crocodile,20190724,Trap,Woods Inlet,23117,-12.487708,Woods Inlet,130.756395,,C. porosus,M,9725,0,1,no,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.7,23.7,1.8,25.5,20120306,0,2012,3,6,,,5.09965197101903,6.827233188944049,1.7275812179250196,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.2,20.4,0,20.4,20170731,0,2017,7,31,,0,6.579873500859398,7.2539323410166165,0.6740588401572185,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,26.6,0,26,20200104,0,2020,1,4,,,6.343572015980551,7.24726315486581,0.9036911388852591,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.9,19.5,0,20.9,20150811,0,2015,8,11,,0,6.665817973094129,7.475027793145914,0.8092098200517848,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
