DATE_READING,YEAR,MONTH,DAY,ELNINO,LANINA,DATE_CAPTURED,AREA_NUMBER,AREA_NAME,GROUP_NAME,1_NO_OF_CAPTURE,2_NO_OF_CAPTURE,3_NO_OF_CAPTURE,4_NO_OF_CAPTURE,TOTAL_CAPTURE,SCIENTIFIC_NAME
20060904,2006,9,4,0,0,20060904,4,West Group,Woods Inlet,0,0,0,1,1,C. porosus
20170824,2017,8,24,0,0,,,,,0,0,0,0,0,
20200730,2020,7,30,0,0,20200730,2,Urban Group,East Arm,0,1,0,0,1,C. porosus
20171230,2017,12,30,0,1,,,,,0,0,0,0,0,
20170503,2017,5,3,0,0,20170503,1,South Group,Southport,1,1,0,0,2,C. porosus
20190724,2019,7,24,0,0,20190724,4,West Group,Woods Inlet,0,0,0,1,1,C. porosus
20120306,2012,3,6,0,0,,,,,0,0,0,0,0,
20170731,2017,7,31,0,0,,,,,0,0,0,0,0,
20200104,2020,1,4,0,0,,,,,0,0,0,0,0,
20150811,2015,8,11,1,0,,,,,0,0,0,0,0,
20070831,2007,8,31,0,1,20070831,3,Northeast Group,Northern Suburb,0,0,2,0,2,C. porosus
20111125,2011,11,25,0,1,20111125,3,Northeast Group,Hope Inlet,1,0,2,0,3,C. porosus
20170916,2017,9,16,0,0,,,,,0,0,0,0,0,
20161203,2016,12,3,0,0,,,,,0,0,0,0,0,
20101208,2010,12,8,0,1,20101208,1,South Group,Middle Arm,1,0,0,0,1,C. porosus
20080212,2008,2,12,0,1,,,,,0,0,0,0,0,
20160617,2016,6,17,0,0,,,,,0,0,0,0,0,
20190131,2019,1,31,0,0,,,,,0,0,0,0,0,
20070128,2007,1,28,1,0,,,,,0,0,0,0,0,
20061010,2006,10,10,1,0,,,,,0,0,0,0,0,
20060917,2006,9,17,0,0,,,,,0,0,0,0,0,
20151121,2015,11,21,1,0,20151121,1,South Group,Berry Creek,1,0,0,0,1,C. porosus
20100629,2010,6,29,0,0,,,,,0,0,0,0,0,
20100701,2010,7,1,0,1,,,,,0,0,0,0,0,
20100825,2010,8,25,0,1,,,,,0,0,0,0,0,
20150116,2015,1,16,0,0,20150116,3,Northeast Group,Hope Inlet,0,0,2,0,2,C. porosus
20110820,2011,8,20,0,0,,,,,0,0,0,0,0,
20160505,2016,5,5,0,0,20160505,3,Northeast Group,Hope Inlet,0,1,1,0,2,C. porosus
20080220,2008,2,20,0,1,,,,,0,0,0,0,0,
20130325,2013,3,25,0,0,,,,,0,0,0,0,0,
20080207,2008,2,7,0,1,,,,,0,0,0,0,0,
20140327,2014,3,27,0,0,,,,,0,0,0,0,0,
20150819,2015,8,19,1,0,,,,,0,0,0,0,0,
20160830,2016,8,30,0,0,,,,,0,0,0,0,0,
20170214,2017,2,14,0,0,,,,,0,0,0,0,0,
20180322,2018,3,22,0,0,20180322,3,Northeast Group,Hope Inlet,0,0,2,0,2,C. porosus
20070920,2007,9,20,0,1,,,,,0,0,0,0,0,
20161117,2016,11,17,0,0,20161117,1,South Group,Berry Creek,1,0,0,0,1,C. porosus
20101016,2010,10,16,0,1,,,,,0,0,0,0,0,
20110217,2011,2,17,0,1,,,,,0,0,0,0,0,
20131126,2013,11,26,0,0,,,,,0,0,0,0,0,
20070222,2007,2,22,0,0,20070222,1,South Group,Southport,1,0,0,0,1,C. porosus
20200604,2020,6,4,0,0,20200604,3,Northeast Group,Hope Inlet,0,0,1,0,1,C. porosus
20141027,2014,10,27,0,0,,,,,0,0,0,0,0,
20070601,2007,6,1,0,0,,,,,0,0,0,0,0,
20120409,2012,4,9,0,0,,,,,0,0,0,0,0,
20070728,2007,7,28,0,0,,,,,0,0,0,0,0,
20130503,2013,5,3,0,0,20130503,3,Northeast Group,Hope Inlet,0,0,1,0,1,C. porosus
20180926,2018,9,26,0,0,20180926,4,West Group,West Arm,0,1,0,2,3,C. porosus
20160325,2016,3,25,1,0,,,,,0,0,0,0,0,
20190717,2019,7,17,0,0,,,,,0,0,0,0,0,
20191123,2019,11,23,0,0,,,,,0,0,0,0,0,
20181221,2018,12,21,0,0,,,,,0,0,0,0,0,
20070913,2007,9,13,0,1,,,,,0,0,0,0,0,
20140301,2014,3,1,0,0,,,,,0,0,0,0,0,
20070506,2007,5,6,0,0,,,,,0,0,0,0,0,
20131215,2013,12,15,0,0,,,,,0,0,0,0,0,
20140218,2014,2,18,0,0,20140218,3,Northeast Group,Hope Inlet,0,0,1,0,1,C. porosus
20090629,2009,6,29,0,0,,,,,0,0,0,0,0,
20110602,2011,6,2,0,0,20110602,2,Urban Group,Elizabeth River downstream,0,1,0,0,1,C. porosus
20140722,2014,7,22,0,0,,,,,0,0,0,0,0,
20170623,2017,6,23,0,0,,,,,0,0,0,0,0,
20090322,2009,3,22,0,0,,,,,0,0,0,0,0,
20110302,2011,3,2,0,1,20110302,3,Northeast Group,Hope Inlet,0,0,1,0,1,C. porosus
20080525,2008,5,25,0,0,,,,,0,0,0,0,0,
20150120,2015,1,20,0,0,,,,,0,0,0,0,0,
